SOILS_ID,XCOORD,YCOORD,SOILTYPE,SOILSYMB
474,23.872774,-15.630746,x,D9
475,28.138634,-15.443998,Phaeozems,Pu25
476,28.84488,-15.399368,Leptosols,He
477,26.757702,-15.349016,Leptosols,H2
478,30.081689,-15.529393,Leptosols,He
479,26.340777,-15.343053,Leptosols,H2
480,30.332937,-15.414465,Solonetz,Vt3
481,28.07955,-15.505406,x,Pd5
482,25.484292,-15.364075,Gleysols,A5
483,26.433946,-15.608341,x,Es12
484,23.82152,-15.528386,Podzols,Es13
485,30.370878,-15.610049,Leptosols,He
486,28.985148,-15.998475,Luvisols,Vt2
487,26.883997,-16.012761,Acrisols,Es1
488,28.20354,-15.865402,Acrisols,Pu7
489,22.18642,-15.658628,Arenosols,Es4
490,27.445512,-16.034718,x,Pu23
491,22.950387,-16.065547,Arenosols,Es4
492,28.421766,-16.345788,x,Vd3
493,26.532476,-15.826716,Arenosols,Es4
494,26.743126,-15.875406,Arenosols,Es4
495,26.340824,-15.901079,Arenosols,Es4
496,27.854561,-16.067873,Luvisols,Pu21
497,27.65546,-15.947292,Luvisols,Pu21
498,24.166175,-16.314499,x,D9
499,28.028947,-16.098474,x,Pd4
500,27.675934,-16.125752,Acrisols,Pu7
501,26.852114,-15.954774,Arenosols,Es4
502,26.745829,-16.267947,Luvisols,Pu22
503,28.799758,-16.223849,Fluvisols,A13
504,22.667823,-16.27553,Arenosols,Es2
505,27.489806,-16.268485,Alisols,Pu15
506,26.244487,-16.329554,Lixisols,Pu19
507,27.385137,-16.402589,Acrisols,Pu7
508,25.810715,-16.751015,x,A9
509,23.574788,-16.962805,Arenosols,Es4
510,26.019091,-16.418999,Vertisols,A7
511,22.95092,-16.732545,Arenosols,Es2
512,25.315661,-16.432926,Leptosols,H2
513,28.752878,-16.461042,x,Vd3
514,26.648889,-16.466931,x,Pd4
515,26.419056,-16.44331,x,Pu23
516,27.329021,-16.533056,Leptosols,Pu30
517,22.224802,-16.437635,Arenosols,Es4
518,26.94758,-16.480054,Acrisols,Pu7
519,26.985057,-16.45815,x,Pd3
